Course Section,Course Subject,Course Number,Section Number,Academic Level,Section Status,Section Title,Term,Number of Registered Students,Number of Waitlisted Students with Seat Offer,Number of Waitlisted Students,Number of Registered Students and Active Seat Offer Notifications,Section Capacity,Wait List Capacity,Instructional Format,Delivery Mode,Instructor
PLNT_V 590-A_001,PLNT_V,590,A_001,Graduate,Open,Advanced Topics in Plant Science,W1,0,0,0,0,20,0,Lecture,In Person Learning,Thorsten Knipfer
PLNT_V 590-F_001,PLNT_V,590,F_001,Graduate,Open,Advanced Topics in Plant Science,W1,0,0,0,0,10,0,Lecture,In Person Learning,Risa Sargent
PLNT_V 649-001,PLNT_V,649,001,Graduate,Open,Doctoral Dissertation,W1,2,0,0,2,13,0,Thesis,In Person Learning,
PLNT_V 649-003,PLNT_V,649,003,Graduate,Open,Doctoral Dissertation,W1-2,7,0,0,7,13,0,Thesis,In Person Learning,
SOIL_V 500-001,SOIL_V,500,001,Graduate,Open,Graduate Seminar,W1,1,0,0,1,30,0,Seminar,In Person Learning,Sandra Brown
SOIL_V 500-003,SOIL_V,500,003,Graduate,Open,Graduate Seminar,W1-2,11,0,0,11,30,0,Seminar,In Person Learning,Sandra Brown
SOIL_V 501-001,SOIL_V,501,001,Graduate,Open,Advanced Soil Processes,W1,2,0,0,2,5,0,Lecture,In Person Learning,Jean Thomas Cornelis
SOIL_V 501-T01,SOIL_V,501,T01,Graduate,Open,Advanced Soil Processes,W1,2,0,0,2,5,0,Discussion,In Person Learning,Jean Thomas Cornelis
SOIL_V 503-001,SOIL_V,503,001,Graduate,Closed,"Advanced Soil Sampling, Analyses and Data Interpretation",W1,10,0,0,10,10,0,Lecture,In Person Learning,"Akshit Puri

Jean Thomas Cornelis

Sandra Brown"
SOIL_V 503-D01,SOIL_V,503,D01,Graduate,Closed,"Advanced Soil Sampling, Analyses and Data Interpretation",W1,10,0,0,10,10,0,Discussion,In Person Learning,"Akshit Puri

Jean Thomas Cornelis

Sandra Brown"
SOIL_V 503-L01,SOIL_V,503,L01,Graduate,Closed,"Advanced Soil Sampling, Analyses and Data Interpretation",W1,10,0,0,10,10,0,Laboratory,In Person Learning,
SOIL_V 515-001,SOIL_V,515,001,Graduate,Open,Watershed Science,W1,3,0,0,3,5,0,Lecture,In Person Learning,Lewis Fausak
SOIL_V 516-001,SOIL_V,516,001,Graduate,Closed,Urban Watershed Management,W1,5,0,0,5,5,0,Lecture,In Person Learning,Julie Wilson
SOIL_V 517-001,SOIL_V,517,001,Graduate,Open,Land and Water Resource Evaluation,W1,3,0,0,3,10,0,Lecture,In Person Learning,
SOIL_V 530-B_001,SOIL_V,530,B_001,Graduate,Open,Directed Studies,W1,4,0,0,4,5,0,Independent Study,In Person Learning,Jean Thomas Cornelis
SOIL_V 530-B_003,SOIL_V,530,B_003,Graduate,Closed,Directed Studies,W1-2,1,0,0,1,0,0,Independent Study,In Person Learning,Jean Thomas Cornelis
SOIL_V 530-D_001,SOIL_V,530,D_001,Graduate,Open,Directed Studies,W1,0,0,0,0,5,0,Independent Study,In Person Learning,
SOIL_V 530-D_003,SOIL_V,530,D_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,Jean Thomas Cornelis
SOIL_V 549-001,SOIL_V,549,001,Graduate,Open,Master's Thesis,W1,2,0,0,2,20,0,Thesis,In Person Learning,Jean Thomas Cornelis
SOIL_V 549-003,SOIL_V,549,003,Graduate,Closed,Master's Thesis,W1-2,5,0,0,5,5,0,Thesis,In Person Learning,Jean Thomas Cornelis
SOIL_V 649-001,SOIL_V,649,001,Graduate,Open,Doctoral Dissertation,W1,2,0,0,2,20,0,Thesis,In Person Learning,Jean Thomas Cornelis
SOIL_V 649-003,SOIL_V,649,003,Graduate,Open,Doctoral Dissertation,W1-2,2,0,0,2,5,0,Thesis,In Person Learning,Jean Thomas Cornelis
