Course Section,Course Subject,Course Number,Section Number,Academic Level,Section Status,Section Title,Term,Number of Registered Students,Number of Waitlisted Students with Seat Offer,Number of Waitlisted Students,Number of Registered Students and Active Seat Offer Notifications,Section Capacity,Wait List Capacity,Instructional Format,Delivery Mode,Instructor
FRE_V 528-L01,FRE_V,528,L01,Graduate,Open,Applied Econometrics,W1,35,0,0,35,45,0,Laboratory,In Person Learning,Michael Johnson
FRE_V 547-101,FRE_V,547,101,Graduate,Open,Graduating Project,W1,1,0,0,1,2,0,Independent Study,In Person Learning,Kelleen Wiseman
FRE_V 600-001,FRE_V,600,001,Graduate,Open,PhD Seminar,W1,0,0,0,0,10,0,Seminar,In Person Learning,Frederik Noack
FRE_V 600-003,FRE_V,600,003,Graduate,Open,PhD Seminar,W1-2,4,0,0,4,10,0,Seminar,In Person Learning,Frederik Noack
FRE_V 603-001,FRE_V,603,001,Graduate,Open,Advanced Food and Resource Economics,W1,5,0,0,5,15,0,Lecture,In Person Learning,Frederik Noack
GRS_V 290-A_001,GRS_V,290,A_001,Undergraduate,Open,Global Issues in Cultural Context,W1-2,13,0,0,13,30,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 290-A_102,GRS_V,290,A_102,Undergraduate,Open,Global Issues in Cultural Context,W1-2,0,0,0,0,5,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 290-A_104,GRS_V,290,A_104,Undergraduate,Open,Global Issues in Cultural Context,W1-2,2,0,0,2,5,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 290-A_IX1,GRS_V,290,A_IX1,Undergraduate,Open,Global Issues in Cultural Context,W1-2,14,0,0,14,30,0,Independent Study,In Person Learning,
GRS_V 290-A_IX2,GRS_V,290,A_IX2,Undergraduate,Open,Global Issues in Cultural Context,W1-2,0,0,0,0,5,0,Independent Study,In Person Learning,
GRS_V 290-A_IX4,GRS_V,290,A_IX4,Undergraduate,Open,Global Issues in Cultural Context,W1-2,1,0,0,1,5,0,Independent Study,In Person Learning,
GRS_V 390-A_001,GRS_V,390,A_001,Undergraduate,Open,Global Issues in Cultural Context,W1-2,14,0,0,14,20,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 390-A_102,GRS_V,390,A_102,Undergraduate,Closed,Global Issues in Cultural Context,W1-2,10,0,0,10,10,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 390-A_104,GRS_V,390,A_104,Undergraduate,Open,Global Issues in Cultural Context,W1-2,0,0,0,0,5,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 390-A_IX1,GRS_V,390,A_IX1,Undergraduate,Open,Global Issues in Cultural Context,W1-2,18,0,0,18,20,0,Independent Study,In Person Learning,
GRS_V 390-A_IX2,GRS_V,390,A_IX2,Undergraduate,Open,Global Issues in Cultural Context,W1-2,4,0,0,4,10,0,Independent Study,In Person Learning,
GRS_V 390-A_IX4,GRS_V,390,A_IX4,Undergraduate,Open,Global Issues in Cultural Context,W1-2,2,0,0,2,5,0,Independent Study,In Person Learning,
GRS_V 397-A_001,GRS_V,397,A_001,Undergraduate,Closed,Regional Directed Field Studies,W1,0,0,0,0,0,0,Independent Study,In Person Learning,Leslie Lavkulich
GRS_V 397-B_003,GRS_V,397,B_003,Undergraduate,Closed,Regional Directed Field Studies,W1,2,0,0,2,0,0,Independent Study,In Person Learning,Leslie Lavkulich
GRS_V 490-001,GRS_V,490,001,Undergraduate,Open,Global Issues in Cultural Context,W1-2,10,0,0,10,15,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 490-102,GRS_V,490,102,Undergraduate,Open,Global Issues in Cultural Context,W1-2,4,0,0,4,10,0,Lecture,In Person Learning,Leslie Lavkulich
GRS_V 490-104,GRS_V,490,104,Undergraduate,Open,Global Issues in Cultural Context,W1-2,10,0,0,10,20,0,Independent Study,In Person Learning,Leslie Lavkulich
